iter	Passed	Remaining
0	142	142408
1	142	71350
2	143	47652
3	143	35799
4	144	28688
5	144	23944
6	144	20554
7	145	18017
8	145	16039
9	146	14456
10	146	13162
11	146	12084
12	147	11171
13	147	10389
14	148	9718
15	148	9125
16	148	8602
17	149	8136
18	149	7719
19	150	7350
20	150	7011
21	150	6702
22	151	6421
23	151	6164
24	152	5928
25	152	5709
26	152	5505
27	153	5316
28	153	5140
29	153	4975
30	154	4822
31	154	4678
32	155	4543
33	155	4415
34	155	4294
35	156	4181
36	156	4073
37	156	3971
38	157	3875
39	157	3783
40	158	3695
41	158	3612
42	158	3533
43	159	3457
44	159	3385
45	159	3315
46	160	3249
47	160	3185
48	161	3124
49	161	3066
50	161	3009
51	162	2955
52	162	2903
53	162	2852
54	163	2804
55	163	2757
56	163	2712
57	164	2669
58	164	2627
59	165	2586
60	165	2547
61	165	2509
62	166	2473
63	166	2437
64	167	2403
65	167	2370
66	167	2337
67	168	2303
68	168	2273
69	168	2243
70	169	2213
71	169	2185
72	169	2158
73	170	2131
74	170	2105
75	171	2080
76	171	2055
77	171	2031
78	172	2007
79	172	1984
80	172	1961
81	173	1940
82	173	1918
83	174	1898
84	174	1876
85	174	1857
86	175	1836
87	175	1817
88	175	1799
89	176	1781
90	176	1763
91	176	1745
92	177	1728
93	177	1712
94	178	1695
95	178	1679
96	178	1663
97	179	1648
98	179	1633
99	179	1618
100	180	1604
101	180	1588
102	180	1574
103	181	1561
104	181	1547
105	181	1534
106	182	1521
107	182	1508
108	183	1496
109	183	1484
110	183	1471
111	184	1460
112	184	1448
113	184	1436
114	185	1425
115	185	1413
116	185	1403
117	186	1392
118	186	1381
119	186	1371
120	187	1360
121	187	1350
122	187	1339
123	188	1329
124	188	1320
125	188	1310
126	189	1301
127	189	1291
128	189	1282
129	190	1273
130	190	1265
131	191	1256
132	191	1247
133	191	1239
134	192	1231
135	192	1223
136	192	1215
137	193	1206
138	193	1199
139	193	1191
140	194	1183
141	194	1176
142	195	1168
143	195	1161
144	195	1154
145	196	1147
146	196	1140
147	196	1133
148	197	1126
149	197	1120
150	198	1113
151	198	1106
152	198	1100
153	199	1093
154	199	1087
155	199	1081
156	200	1075
157	200	1069
158	200	1063
159	201	1057
160	201	1051
161	202	1045
162	202	1039
163	202	1033
164	203	1028
165	203	1022
166	203	1017
167	204	1011
168	204	1006
169	205	1000
170	205	995
171	205	990
172	206	985
173	206	980
174	206	975
175	207	970
176	207	965
177	207	960
178	208	955
179	208	951
180	208	945
181	209	940
182	209	936
183	210	931
184	210	926
185	210	922
186	211	917
187	211	913
188	211	909
189	212	904
190	212	900
191	212	896
192	213	892
193	213	887
194	214	883
195	214	879
196	214	875
197	215	871
198	215	867
199	215	863
200	216	859
201	216	855
202	217	851
203	217	848
204	217	844
205	218	840
206	218	836
207	218	833
208	219	829
209	219	825
210	219	822
211	220	818
212	220	815
213	221	811
214	221	808
215	221	804
216	222	801
217	222	798
218	222	794
219	223	791
220	223	788
221	223	784
222	224	781
223	224	778
224	225	775
225	225	772
226	225	769
227	226	765
228	226	762
229	226	759
230	227	756
231	227	753
232	227	750
233	228	747
234	228	744
235	229	741
236	229	738
237	229	735
238	230	732
239	230	730
240	230	727
241	231	724
242	231	721
243	231	718
244	232	716
245	232	713
246	233	710
247	233	707
248	233	705
249	234	702
250	234	699
251	234	697
252	235	694
253	235	692
254	236	689
255	236	686
256	236	684
257	237	681
258	237	679
259	237	676
260	238	674
261	238	671
262	238	669
263	239	667
264	239	664
265	240	662
266	240	659
267	240	657
268	241	655
269	241	652
270	241	650
271	242	648
272	242	645
273	242	643
274	243	641
275	243	639
276	244	636
277	244	634
278	244	632
279	245	630
280	245	628
281	245	626
282	246	623
283	246	621
284	246	619
285	247	617
286	247	615
287	248	613
288	248	611
289	248	609
290	249	607
291	249	605
292	249	602
293	250	600
294	250	599
295	251	597
296	251	595
297	251	593
298	252	591
299	252	589
300	252	587
301	253	585
302	253	583
303	253	581
304	254	579
305	254	577
306	255	575
307	255	573
308	255	572
309	256	570
310	256	568
311	256	566
312	257	564
313	257	562
314	258	561
315	258	559
316	258	557
317	259	555
318	259	553
319	259	552
320	260	550
321	260	548
322	260	546
323	261	545
324	261	543
325	262	541
326	262	540
327	262	538
328	263	536
329	263	535
330	263	533
331	264	531
332	264	530
333	264	528
334	265	526
335	265	525
336	266	524
337	267	523
338	267	521
339	267	519
340	268	518
341	268	516
342	268	515
343	269	513
344	269	512
345	270	510
346	270	508
347	270	507
348	271	505
349	271	504
350	271	502
351	272	501
352	272	499
353	272	498
354	273	496
355	273	495
356	274	493
357	274	492
358	274	490
359	275	489
360	275	487
361	275	486
362	276	484
363	276	483
364	276	481
365	277	480
366	277	478
367	278	477
368	278	476
369	278	474
370	279	473
371	279	471
372	279	470
373	280	469
374	280	467
375	281	466
376	281	465
377	281	463
378	282	462
379	282	460
380	282	459
381	283	458
382	283	456
383	283	455
384	284	454
385	284	452
386	285	451
387	285	450
388	285	448
389	286	447
390	286	446
391	286	445
392	287	443
393	287	442
394	288	441
395	288	439
396	288	438
397	289	437
398	289	436
399	289	434
400	290	433
401	290	432
402	290	431
403	291	429
404	291	428
405	292	427
406	292	426
407	292	424
408	293	423
409	293	422
410	293	421
411	294	420
412	294	418
413	295	417
414	295	416
415	295	415
416	296	414
417	296	412
418	296	411
419	297	410
420	297	409
421	298	408
422	298	407
423	298	405
424	299	404
425	299	403
426	299	402
427	300	401
428	300	400
429	301	399
430	301	397
431	301	396
432	302	395
433	302	394
434	302	393
435	303	392
436	303	391
437	303	390
438	304	388
439	304	387
440	305	386
441	305	385
442	305	384
443	306	383
444	306	382
445	306	381
446	307	380
447	307	379
448	308	378
449	308	376
450	308	375
451	309	374
452	309	373
453	309	372
454	310	371
455	310	370
456	310	369
457	311	368
458	311	367
459	312	366
460	312	365
461	312	364
462	313	363
463	313	362
464	313	361
465	314	360
466	314	359
467	315	358
468	315	357
469	315	356
470	316	355
471	316	354
472	316	353
473	317	352
474	317	351
475	318	350
476	318	349
477	318	348
478	319	347
479	319	346
480	319	345
481	320	344
482	320	343
483	320	342
484	321	341
485	321	340
486	322	339
487	322	338
488	322	337
489	323	336
490	324	336
491	324	335
492	324	334
493	325	333
494	325	332
495	326	331
496	326	330
497	326	329
498	327	328
499	327	327
500	327	326
501	328	325
502	328	324
503	328	323
504	329	322
505	329	321
506	330	320
507	330	320
508	330	319
509	331	318
510	331	317
511	331	316
512	332	315
513	332	314
514	333	313
515	333	312
516	333	311
517	334	310
518	334	310
519	334	309
520	335	308
521	335	307
522	336	306
523	336	305
524	336	304
525	337	303
526	337	302
527	337	302
528	338	301
529	338	300
530	339	299
531	339	298
532	339	297
533	340	296
534	340	295
535	340	295
536	341	294
537	341	293
538	341	292
539	342	291
540	342	290
541	343	289
542	343	289
543	343	288
544	344	287
545	344	286
546	344	285
547	345	284
548	345	283
549	346	283
550	346	282
551	346	281
552	347	280
553	347	279
554	347	278
555	348	278
556	348	277
557	349	276
558	349	275
559	349	274
560	350	274
561	350	273
562	351	272
563	351	271
564	351	270
565	352	269
566	352	269
567	352	268
568	353	267
569	353	266
570	353	265
571	354	265
572	354	264
573	355	263
574	355	262
575	355	261
576	356	261
577	356	260
578	356	259
579	357	258
580	357	257
581	357	257
582	358	256
583	358	255
584	359	254
585	359	253
586	359	253
587	360	252
588	360	251
589	360	250
590	361	250
591	361	249
592	362	248
593	362	247
594	362	246
595	363	246
596	363	245
597	363	244
598	364	243
599	364	243
600	365	242
601	365	241
602	365	240
603	366	240
604	366	239
605	366	238
606	367	237
607	367	237
608	368	236
609	368	235
610	368	234
611	369	234
612	369	233
613	370	232
614	370	231
615	370	231
616	371	230
617	371	229
618	372	229
619	372	228
620	372	227
621	373	226
622	373	226
623	374	225
624	374	224
625	374	223
626	375	223
627	375	222
628	375	221
629	376	220
630	376	220
631	376	219
632	377	218
633	377	218
634	378	217
635	378	216
636	378	215
637	379	215
638	379	214
639	379	213
640	380	212
641	380	212
642	380	211
643	381	210
644	381	210
645	382	209
646	382	208
647	382	207
648	383	207
649	383	206
650	384	205
651	384	205
652	384	204
653	385	203
654	385	203
655	385	202
656	386	201
657	386	200
658	386	200
659	387	199
660	387	198
661	388	198
662	388	197
663	388	196
664	389	196
665	389	195
666	389	194
667	390	194
668	390	193
669	391	192
670	391	191
671	391	191
672	392	190
673	392	189
674	392	189
675	393	188
676	393	187
677	394	187
678	394	186
679	394	185
680	395	185
681	395	184
682	396	183
683	396	183
684	396	182
685	397	181
686	397	181
687	397	180
688	398	179
689	398	179
690	399	178
691	399	177
692	399	177
693	400	176
694	400	175
695	400	175
696	401	174
697	401	173
698	402	173
699	402	172
700	402	171
701	403	171
702	403	170
703	403	169
704	404	169
705	404	168
706	404	167
707	405	167
708	405	166
709	406	165
710	406	165
711	406	164
712	407	163
713	407	163
714	407	162
715	408	161
716	408	161
717	408	160
718	409	160
719	409	159
720	410	158
721	410	158
722	411	157
723	411	156
724	411	156
725	412	155
726	412	154
727	412	154
728	413	153
729	413	153
730	414	152
731	414	151
732	414	151
733	415	150
734	415	149
735	415	149
736	416	148
737	416	147
738	417	147
739	417	146
740	417	146
741	418	145
742	418	144
743	418	144
744	419	143
745	419	142
746	420	142
747	420	141
748	420	141
749	421	140
750	421	139
751	421	139
752	422	138
753	422	137
754	423	137
755	423	136
756	423	136
757	424	135
758	424	134
759	425	134
760	425	133
761	426	133
762	426	132
763	426	131
764	427	131
765	427	130
766	427	130
767	428	129
768	428	128
769	429	128
770	429	127
771	429	126
772	430	126
773	430	125
774	430	125
775	431	124
776	431	123
777	432	123
778	432	122
779	432	122
780	433	121
781	433	120
782	433	120
783	434	119
784	434	119
785	435	118
786	435	117
787	435	117
788	436	116
789	436	116
790	436	115
791	437	114
792	437	114
793	438	113
794	438	113
795	438	112
796	439	111
797	439	111
798	440	110
799	440	110
800	440	109
801	441	108
802	441	108
803	441	107
804	442	107
805	442	106
806	443	105
807	443	105
808	443	104
809	444	104
810	444	103
811	444	103
812	445	102
813	445	101
814	446	101
815	446	100
816	446	100
817	447	99
818	447	98
819	447	98
820	448	97
821	448	97
822	448	96
823	449	95
824	449	95
825	450	94
826	450	94
827	450	93
828	451	93
829	451	92
830	451	91
831	452	91
832	452	90
833	453	90
834	453	89
835	453	89
836	454	88
837	454	87
838	455	87
839	455	86
840	455	86
841	456	85
842	456	85
843	456	84
844	457	83
845	457	83
846	458	82
847	458	82
848	458	81
849	459	81
850	459	80
851	459	79
852	460	79
853	460	78
854	461	78
855	461	77
856	461	77
857	462	76
858	462	75
859	462	75
860	463	74
861	463	74
862	464	73
863	464	73
864	464	72
865	465	71
866	465	71
867	465	70
868	466	70
869	466	69
870	467	69
871	467	68
872	467	68
873	468	67
874	468	66
875	469	66
876	469	65
877	469	65
878	470	64
879	470	64
880	470	63
881	471	63
882	471	62
883	472	61
884	472	61
885	472	60
886	473	60
887	473	59
888	473	59
889	474	58
890	474	58
891	475	57
892	475	56
893	475	56
894	476	55
895	476	55
896	477	54
897	477	54
898	477	53
899	478	53
900	478	52
901	478	52
902	479	51
903	479	50
904	480	50
905	480	49
906	480	49
907	481	48
908	481	48
909	482	47
910	482	47
911	482	46
912	483	46
913	483	45
914	483	44
915	484	44
916	484	43
917	485	43
918	485	42
919	485	42
920	486	41
921	486	41
922	487	40
923	487	40
924	487	39
925	488	39
926	488	38
927	488	37
928	489	37
929	489	36
930	490	36
931	490	35
932	490	35
933	491	34
934	491	34
935	491	33
936	492	33
937	492	32
938	493	32
939	493	31
940	493	30
941	494	30
942	494	29
943	494	29
944	495	28
945	495	28
946	496	27
947	496	27
948	496	26
949	497	26
950	497	25
951	498	25
952	498	24
953	498	24
954	499	23
955	499	22
956	500	22
957	500	21
958	500	21
959	501	20
960	501	20
961	501	19
962	502	19
963	502	18
964	503	18
965	503	17
966	503	17
967	504	16
968	504	16
969	504	15
970	505	15
971	505	14
972	506	14
973	506	13
974	506	12
975	507	12
976	507	11
977	508	11
978	508	10
979	508	10
980	509	9
981	509	9
982	509	8
983	510	8
984	510	7
985	511	7
986	511	6
987	512	6
988	512	5
989	512	5
990	513	4
991	513	4
992	513	3
993	514	3
994	514	2
995	515	2
996	515	1
997	515	1
998	516	0
999	516	0
