iter	Passed	Remaining
0	134	134267
1	135	67451
2	135	45094
3	136	33900
4	136	27188
5	137	22716
6	137	19516
7	138	17116
8	138	15250
9	140	13864
10	140	12641
11	141	11617
12	141	10748
13	142	10003
14	142	9357
15	142	8791
16	143	8293
17	143	7849
18	144	7451
19	144	7096
20	145	6779
21	146	6491
22	146	6223
23	147	5978
24	147	5751
25	147	5541
26	148	5346
27	148	5166
28	149	4997
29	149	4841
30	150	4697
31	150	4562
32	151	4435
33	151	4315
34	152	4201
35	152	4093
36	153	3990
37	153	3893
38	154	3800
39	154	3712
40	155	3629
41	155	3553
42	156	3479
43	156	3407
44	157	3338
45	157	3272
46	158	3208
47	158	3147
48	159	3089
49	160	3043
50	160	2991
51	161	2942
52	161	2893
53	162	2845
54	162	2798
55	163	2754
56	163	2710
57	164	2668
58	164	2627
59	165	2588
60	165	2550
61	166	2513
62	166	2480
63	167	2446
64	167	2412
65	168	2380
66	168	2348
67	169	2317
68	169	2287
69	170	2258
70	170	2230
71	170	2202
72	171	2175
73	171	2150
74	172	2125
75	172	2102
76	173	2079
77	173	2056
78	174	2033
79	174	2011
80	175	1989
81	175	1967
82	176	1944
83	176	1924
84	177	1908
85	177	1889
86	178	1870
87	178	1852
88	179	1834
89	179	1816
90	180	1799
91	180	1782
92	181	1765
93	181	1749
94	181	1733
95	182	1717
96	182	1702
97	183	1687
98	183	1672
99	184	1658
100	184	1643
101	185	1629
102	185	1616
103	186	1602
104	186	1589
105	186	1576
106	187	1564
107	187	1551
108	188	1539
109	188	1528
110	189	1517
111	189	1505
112	190	1494
113	190	1483
114	191	1472
115	191	1461
116	192	1449
117	192	1439
118	193	1428
119	193	1418
120	194	1409
121	194	1399
122	194	1389
123	195	1380
124	195	1370
125	196	1361
126	196	1351
127	197	1342
128	197	1334
129	198	1325
130	198	1316
131	199	1308
132	199	1301
133	200	1293
134	200	1285
135	201	1277
136	201	1269
137	202	1262
138	202	1254
139	202	1246
140	203	1239
141	203	1230
142	204	1223
143	204	1216
144	205	1210
145	205	1203
146	206	1196
147	206	1189
148	207	1183
149	207	1176
150	208	1169
151	208	1163
152	208	1156
153	209	1150
154	209	1144
155	210	1139
156	211	1133
157	211	1127
158	211	1121
159	212	1115
160	212	1109
161	213	1103
162	213	1097
163	214	1091
164	214	1086
165	215	1081
166	215	1075
167	216	1070
168	216	1065
169	217	1059
170	217	1054
171	218	1049
172	218	1044
173	218	1039
174	219	1034
175	219	1029
176	220	1025
177	220	1020
178	221	1016
179	222	1011
180	222	1006
181	222	1001
182	223	997
183	223	992
184	224	987
185	224	983
186	225	978
187	225	974
188	226	970
189	226	965
190	226	961
191	227	957
192	227	952
193	228	948
194	228	944
195	229	940
196	229	936
197	230	932
198	230	928
199	231	924
200	231	920
201	231	916
202	232	912
203	232	908
204	233	904
205	233	901
206	234	897
207	234	893
208	235	889
209	235	886
210	236	882
211	236	879
212	237	876
213	237	873
214	238	869
215	238	866
216	239	863
217	239	859
218	240	855
219	240	852
220	240	849
221	241	845
222	241	842
223	242	839
224	242	836
225	243	833
226	243	830
227	244	827
228	244	823
229	245	820
230	245	817
231	246	814
232	246	811
233	246	808
234	247	805
235	247	802
236	248	799
237	248	796
238	249	793
239	249	790
240	250	787
241	250	784
242	250	781
243	251	778
244	251	775
245	252	773
246	252	770
247	253	767
248	253	764
249	254	762
250	254	759
251	255	757
252	255	754
253	255	751
254	256	749
255	256	746
256	257	743
257	257	741
258	258	738
259	258	736
260	259	733
261	259	731
262	260	728
263	260	726
264	261	723
265	261	721
266	261	718
267	262	716
268	262	713
269	263	711
270	263	709
271	264	706
272	264	704
273	265	702
274	265	700
275	266	697
276	266	695
277	266	693
278	267	690
279	267	688
280	268	686
281	268	684
282	269	681
283	269	679
284	270	677
285	270	675
286	271	673
287	271	671
288	271	669
289	272	666
290	272	664
291	273	662
292	273	660
293	274	658
294	274	656
295	275	654
296	275	652
297	275	650
298	276	648
299	276	646
300	277	644
301	277	642
302	278	639
303	278	637
304	279	635
305	279	633
306	279	631
307	280	630
308	281	628
309	281	626
310	281	624
311	282	622
312	282	620
313	283	618
314	283	616
315	284	614
316	284	613
317	285	611
318	285	610
319	286	608
320	286	606
321	287	605
322	287	603
323	288	601
324	288	599
325	289	597
326	289	595
327	289	594
328	290	592
329	290	590
330	291	588
331	291	587
332	292	585
333	292	583
334	293	581
335	293	580
336	294	578
337	294	576
338	294	574
339	295	573
340	295	571
341	296	569
342	296	568
343	297	566
344	297	565
345	298	563
346	298	561
347	298	560
348	299	558
349	299	556
350	300	555
351	300	553
352	301	551
353	301	550
354	302	548
355	302	547
356	302	545
357	303	544
358	303	542
359	304	541
360	304	539
361	305	537
362	305	536
363	306	534
364	306	533
365	306	531
366	307	530
367	308	529
368	308	527
369	308	526
370	309	524
371	309	523
372	310	521
373	310	520
374	311	518
375	311	517
376	312	515
377	312	514
378	312	512
379	313	511
380	314	510
381	314	508
382	314	507
383	315	505
384	315	504
385	316	503
386	316	501
387	317	500
388	317	498
389	318	497
390	318	496
391	319	494
392	319	493
393	319	492
394	320	490
395	320	489
396	321	487
397	321	486
398	322	485
399	322	483
400	322	482
401	323	481
402	323	479
403	324	478
404	324	477
405	325	475
406	325	474
407	326	473
408	326	471
409	326	470
410	327	469
411	327	467
412	328	466
413	328	465
414	329	463
415	329	462
416	330	461
417	330	460
418	330	458
419	331	457
420	331	456
421	332	455
422	332	453
423	333	452
424	333	451
425	334	450
426	334	448
427	334	447
428	335	446
429	335	445
430	336	444
431	336	442
432	337	441
433	337	440
434	338	439
435	338	437
436	338	436
437	339	435
438	339	434
439	340	433
440	340	432
441	341	430
442	341	429
443	342	428
444	342	427
445	343	426
446	343	425
447	344	423
448	344	422
449	344	421
450	345	420
451	345	419
452	346	418
453	346	417
454	347	416
455	347	415
456	348	413
457	348	412
458	349	411
459	349	410
460	350	409
461	350	408
462	351	407
463	351	406
464	352	405
465	352	404
466	353	402
467	353	401
468	353	400
469	354	399
470	354	398
471	355	397
472	355	396
473	356	395
474	356	394
475	357	393
476	357	392
477	358	391
478	358	390
479	359	389
480	359	387
481	360	386
482	360	385
483	360	384
484	361	384
485	362	383
486	362	382
487	363	381
488	363	380
489	364	378
490	364	377
491	365	376
492	365	375
493	365	374
494	366	373
495	366	372
496	367	371
497	367	370
498	368	369
499	368	368
500	369	368
501	370	367
502	370	366
503	371	365
504	371	364
505	371	363
506	372	362
507	373	361
508	373	360
509	374	359
510	374	358
511	375	357
512	375	356
513	376	355
514	376	354
515	377	353
516	377	352
517	378	351
518	378	350
519	379	349
520	379	348
521	380	347
522	380	346
523	380	345
524	381	345
525	381	344
526	382	343
527	382	342
528	383	341
529	383	340
530	384	339
531	384	338
532	385	337
533	385	336
534	386	335
535	386	334
536	387	333
537	387	332
538	387	331
539	388	330
540	388	330
541	389	329
542	389	328
543	390	327
544	390	326
545	391	325
546	391	324
547	392	323
548	392	322
549	393	321
550	393	320
551	394	319
552	394	318
553	395	318
554	395	317
555	395	316
556	396	315
557	396	314
558	397	313
559	397	312
560	398	311
561	398	310
562	399	309
563	399	308
564	400	308
565	400	307
566	401	306
567	401	305
568	402	304
569	402	303
570	403	302
571	403	301
572	403	301
573	404	300
574	405	299
575	405	298
576	406	297
577	406	297
578	407	296
579	407	295
580	408	294
581	408	293
582	409	292
583	409	291
584	409	290
585	410	290
586	410	289
587	411	288
588	411	287
589	412	286
590	412	285
